year,rank_1_20,rank_21_100,rank_101_250,rank_251_500,rank_501_750,rank_751_1000,rank_1001_2000,total_top1000,total_top2000,total_top500,score
1475,0,0,0,1,0,0,0,1,1,1,4
1587,0,0,0,0,0,0,1,0,1,0,1
1630,0,0,0,0,1,0,0,1,1,0,3
1800,0,0,0,0,0,1,0,1,1,0,2
1810,0,0,0,0,0,0,1,0,1,0,1
1850,0,0,0,0,0,1,0,1,1,0,2
1876,0,1,0,0,0,0,0,1,1,1,6
1925,0,0,0,0,0,0,1,0,1,0,1
1959,0,0,0,0,0,1,0,1,1,0,2
1960,0,0,0,0,0,0,1,0,1,0,1
1963,0,0,0,1,0,0,0,1,1,1,4
1971,0,0,0,0,0,0,1,0,1,0,1
1977,0,0,0,0,0,1,2,1,3,0,4
1979,0,0,0,0,1,0,2,1,3,0,5
1980,0,0,0,0,1,1,1,2,3,0,6
1981,0,0,1,0,0,0,1,1,2,1,6
1982,0,0,0,1,0,0,1,1,2,1,5
1983,0,0,0,0,0,0,3,0,3,0,3
1984,0,0,0,0,0,1,0,1,1,0,2
1985,0,0,0,0,1,0,1,1,2,0,4
1986,0,0,0,2,0,0,3,2,5,2,11
1987,0,0,0,0,0,0,1,0,1,0,1
1988,0,0,0,0,0,0,2,0,2,0,2
1989,0,0,0,0,1,1,1,2,3,0,6
1990,0,0,0,0,0,1,1,1,2,0,3
1991,0,0,1,0,0,0,2,1,3,1,7
1992,0,0,1,0,0,0,2,1,3,1,7
1993,0,0,1,0,0,0,2,1,3,1,7
1994,0,0,0,0,3,0,4,3,7,0,13
1995,0,1,0,0,4,0,8,5,13,1,26
1996,0,0,0,1,0,0,3,1,4,1,7
1997,0,0,1,1,1,0,6,3,9,2,18
1998,0,0,0,1,1,0,7,2,9,1,14
1999,0,0,1,6,1,3,6,11,17,7,44
2000,0,0,1,2,2,1,10,6,16,3,31
2001,0,0,0,1,1,0,12,2,14,1,19
2002,0,1,1,0,1,4,5,7,12,2,27
2003,0,0,0,1,4,2,11,7,18,1,31
2004,0,1,2,5,6,5,17,19,36,8,81
2005,1,0,4,3,5,5,18,18,36,8,85
2006,0,0,2,6,3,4,8,15,23,8,59
2007,0,3,1,6,8,3,13,21,34,10,90
2008,0,1,5,3,1,1,23,11,34,9,71
2009,0,0,4,10,8,7,19,29,48,14,117
2010,0,0,3,6,8,7,27,24,51,9,104
2011,2,2,6,8,14,6,31,38,69,18,179
2012,0,3,9,8,10,9,32,39,71,20,175
2013,0,2,2,10,13,7,32,34,66,14,147
2014,0,4,10,9,11,13,47,47,94,23,216
2015,2,7,7,15,12,22,49,65,114,31,286
2016,3,7,9,14,16,15,52,64,116,33,303
2017,4,6,7,19,9,20,79,65,144,36,333
2018,1,6,12,18,15,23,59,75,134,37,328
2019,0,9,17,11,21,23,69,81,150,37,361
2020,2,5,9,20,10,10,62,56,118,36,287
2021,1,5,8,19,13,19,63,65,128,33,296
2022,1,6,9,23,22,6,66,67,133,39,327
2023,1,7,4,11,8,11,58,42,100,23,220
2024,2,2,7,7,9,11,51,38,89,18,195
2025,0,0,2,2,3,6,19,13,32,4,58
